text@vvv1988m	@vvv1988m	392.69	395.408	ноо / что касается структуры спектакля / по-моему /
text@vvv1988m	@vvv1988m	395.831	397.014	всё прекрасно там //
text@vvv1988m	@vvv1988m	407.851	408.217	ну /
text@vvv1988m	@vvv1988m	413.014	415.943	после того как ты выпустил / аам / премьеру //
text@vvv1988m	@vvv1988m	416.042	419.014	на следующий день / спектакль перестаёт тебе принадлежать //
text@vvv1988m	@vvv1988m	420.535	420.957	всё //
text@vvv1988m	@vvv1988m	423.774	428.028	никто не даст время / это же большой очень такой / завод //
text@vvv1988m	@vvv1988m	428.691	430.352	я люблю Мариинский театр //
text@vvv1988m	@vvv1988m	430.521	431.832	всем сердцем //
text@vvv1988m	@vvv1988m	432.395	433.901	но мы понимаем /
text@vvv1988m	@vvv1988m	434.177	435.394	что этооо /
text@vvv1988m	@vvv1988m	435.619	437.211	огромная фабрика /
text@vvv1988m	@vvv1988m	437.338	439.478	по производству спектаклей //
text@vvv1988m	@vvv1988m	439.774	447.532	и там / временной ресурс / и человеческий ресурс / всё / очень четко / распределено и расписано //
text@vvv1988m	@vvv1988m	447.605	450.957	не смотря на то что в театре около трёхста артистов балета /
text@vvv1988m	@vvv1988m	451.253	454.928	и премьеры // то есть театр даёт за год около тысячи наименований //
text@vvv1988m	@vvv1988m	455.45	457.14	ну то есть это не /
text@vvv1988m	@vvv1988m	457.873	461.169	не... / и ты просто выбираешь / ты встраиваешься в эти правила /
text@vvv1988m	@vvv1988m	461.901	462.521	или нет //
text@vvv1988m	@vvv1988m	463.211	465.45	ты конечно можешь закатить истерику сказать /
text@vvv1988m	@vvv1988m	465.689	470.14	мой спектакль / будет играться / после там / десяти репетиций только //
text@vvv1988m	@vvv1988m	470.591	475.335	и вот как бы если они не произойдут / то я тогда как бы отказываюсь принимать в этом участие //
text@vvv1988m	@vvv1988m	475.555	477.169	но тогда он просто не будет играться //
words@te1988f	@te1988f	0.05	0.271	у
words@te1988f	@te1988f	0.271	0.492	вас
words@te1988f	@te1988f	0.492	0.713	же
words@te1988f	@te1988f	0.713	0.934	есть
words@te1988f	@te1988f	0.934	1.155	/
words@te1988f	@te1988f	1.155	1.376	на
words@te1988f	@te1988f	1.376	1.597	сцене
words@te1988f	@te1988f	1.597	1.818	Мариинского
words@te1988f	@te1988f	1.818	2.039	театра
words@te1988f	@te1988f	2.039	2.26	балет
words@te1988f	@te1988f	2.26	2.481	Дафнис
words@te1988f	@te1988f	2.481	2.702	и
words@te1988f	@te1988f	2.702	2.923	Хлоя
words@te1988f	@te1988f	2.923	3.144	?
words@te1988f	@te1988f	3.144	3.37	//
words@te1988f	@te1988f	4.04	4.2	как
words@te1988f	@te1988f	4.2	4.36	раз
words@te1988f	@te1988f	4.36	4.52	/
words@te1988f	@te1988f	5.13	5.348	в
words@te1988f	@te1988f	5.348	5.566	семьдесят
words@te1988f	@te1988f	5.566	5.784	четвёртом
words@te1988f	@te1988f	5.784	6.002	году
words@te1988f	@te1988f	6.002	6.22	/
words@te1988f	@te1988f	6.22	6.438	да
words@te1988f	@te1988f	6.438	6.656	/
words@te1988f	@te1988f	6.656	6.874	на
words@te1988f	@te1988f	6.874	7.092	сцене
words@te1988f	@te1988f	7.092	7.31	Кировского
words@te1988f	@te1988f	7.31	7.528	театра
words@te1988f	@te1988f	7.528	7.746	/
words@te1988f	@te1988f	7.746	7.964	Барышников
